100K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,IPTransE,0.32447,0.50854,0.58071,0.74039,238.169,0.412,0.34923,0.53509,0.60884,0.76433,191.228,0.438,0.34923,0.54076,0.61314,0.77071,176.063,0.441,0.35697,0.54963,0.62159,0.77534,167.312,0.449,0.35213,0.5432,0.61446,0.77003,174.412,0.443,0.34641,0.01266,0.53544,0.01592,0.60775,0.0158,0.76416,0.01385,189.437,28.601,0.437,0.014
,JAPE,0.11261,0.22357,0.28404,0.4539,799.268,0.171,0.1032,0.20924,0.26833,0.43996,796.463,0.16,0.10937,0.21719,0.27629,0.44249,819.119,0.166,0.11374,0.22246,0.2806,0.44659,792.06,0.171,0.11007,0.21954,0.27906,0.4485,788.788,0.168,0.1098,0.0041,0.2184,0.0057,0.27766,0.00592,0.44629,0.00542,799.14,11.87,0.167,0.005
,KDCoE,0.65101,0.75717,0.79236,0.86507,95.095,0.702,0.66056,0.76544,0.79911,0.86837,84.624,0.71,0.63706,0.7439,0.78057,0.85583,97.646,0.688,0.64107,0.74721,0.78307,0.85599,106.09,0.692,0.66299,0.76637,0.80103,0.87094,79.064,0.712,0.65054,0.01148,0.75602,0.01027,0.79123,0.00921,0.86324,0.00701,92.504,10.729,0.701,0.011
,BootEA,0.74499,0.85434,0.88886,0.9499,106.953,0.795,0.73431,0.84517,0.88217,0.94577,102.707,0.786,0.74166,0.85283,0.88709,0.94929,110.881,0.793,0.73756,0.85044,0.88543,0.94933,107.574,0.789,0.73816,0.84997,0.8842,0.9465,106.108,0.789,0.73934,0.0041,0.85055,0.00349,0.88555,0.00258,0.94816,0.00188,106.845,2.937,0.791,0.004
,GCN-Align,0.37766,0.553,0.61973,0.75866,648.49,0.46,0.38167,0.55673,0.62431,0.7603,631.935,0.465,0.3687,0.54317,0.60871,0.74583,673.754,0.452,0.37279,0.54493,0.61267,0.74897,647.346,0.455,0.37334,0.54583,0.61033,0.7456,647.115,0.455,0.37483,0.00497,0.54873,0.00583,0.61515,0.00663,0.75187,0.0071,649.728,15.065,0.457,0.005
,AttrE,0.46186,0.63743,0.70051,0.8276,96.232,0.544,0.48009,0.65096,0.71287,0.83759,89.442,0.561,0.44916,0.62374,0.686,0.8181,110.787,0.532,0.4678,0.64239,0.70427,0.82944,93.627,0.55,0.45976,0.63263,0.69691,0.82421,101.744,0.542,0.46373,0.01136,0.63743,0.01022,0.70011,0.00987,0.82739,0.00715,98.366,8.251,0.546,0.011
,IMUSE,0.45289,0.58343,0.62901,0.73639,255.204,0.516,0.46591,0.5984,0.64673,0.75384,199.687,0.53,0.45484,0.58173,0.62701,0.73204,263.404,0.516,0.45743,0.59121,0.63844,0.74464,219.883,0.522,0.45391,0.58761,0.63526,0.74331,218.105,0.519,0.457,0.00526,0.58848,0.00666,0.63529,0.00789,0.74204,0.00836,231.257,26.953,0.521,0.006
,SEA,0.4554,0.63106,0.70099,0.84186,83.934,0.539,0.44764,0.62527,0.69526,0.83829,82.542,0.532,0.43774,0.61533,0.6877,0.83519,85.082,0.523,0.44934,0.62629,0.69544,0.84034,81.431,0.534,0.44737,0.62471,0.69613,0.83941,88.536,0.532,0.4475,0.00635,0.62453,0.00572,0.6951,0.00476,0.83902,0.00251,84.305,2.739,0.532,0.006
,RSN4EA,0.63911,0.76109,0.8,0.87557,225.214,0.696,0.64023,0.76309,0.8022,0.87543,220.117,0.697,0.63933,0.76389,0.80219,0.87523,220.379,0.697,0.64003,0.76279,0.80234,0.87496,243.099,0.697,0.63826,0.76346,0.80267,0.87523,245.808,0.697,0.63939,0.00079,0.76286,0.00107,0.80188,0.00107,0.87528,0.00023,230.923,12.553,0.697,0.001
,MultiKE,0.66706,0.71364,0.73539,0.79459,254.923,0.691,0.66207,0.70917,0.72967,0.78521,263.313,0.686,0.6575,0.70504,0.7257,0.78227,299.108,0.682,0.6619,0.71274,0.7335,0.79003,314.694,0.688,0.65711,0.7058,0.72684,0.7843,276.971,0.682,0.66113,0.00406,0.70928,0.00391,0.73022,0.00417,0.78728,0.00498,281.802,24.845,0.686,0.004
,RDGCN,0.76374,0.82639,0.8444,0.87753,868.975,0.793,0.76567,0.8276,0.84497,0.87906,824.884,0.795,0.76743,0.83096,0.84869,0.88261,776.921,0.797,0.76644,0.8282,0.84579,0.87811,906.794,0.795,0.76819,0.83219,0.84953,0.88239,749.84,0.798,0.76629,0.00172,0.82907,0.00242,0.84668,0.0023,0.87994,0.0024,825.483,64.389,0.796,0.002
D-W,MTransE,0.15157,0.27311,0.3312,0.47933,"1,293.53",0.213,0.1476,0.2668,0.32371,0.46909,"1,229.58",0.208,0.15116,0.2729,0.33047,0.48217,"1,312.54",0.213,0.14166,0.26077,0.3171,0.46779,"1,244.88",0.202,0.14606,0.26521,0.32104,0.46816,"1,281.19",0.206,0.14761,0.00406,0.26776,0.00528,0.3247,0.00608,0.47331,0.00688,"1,272.34",34.369,0.209,0.005
,IPTransE,0.31204,0.51009,0.58846,0.75966,224.627,0.407,0.32964,0.53136,0.61241,0.78126,194.318,0.426,0.3431,0.54976,0.63117,0.79571,179.871,0.441,0.30304,0.49067,0.56674,0.73439,296.348,0.394,0.306,0.49871,0.57629,0.74374,264.781,0.398,0.31876,0.01707,0.51612,0.02424,0.59501,0.02647,0.76295,0.02551,231.989,48.495,0.413,0.02
,JAPE,0.14881,0.28184,0.34584,0.50386,655.168,0.215,0.1517,0.28263,0.34597,0.50296,696.153,0.218,0.1598,0.29557,0.35909,0.51661,642.299,0.228,0.15287,0.2867,0.34837,0.50424,659.275,0.22,0.1549,0.28786,0.35119,0.50927,639.672,0.221,0.15362,0.0041,0.28692,0.00548,0.35009,0.00548,0.50739,0.00571,658.513,22.619,0.221,0.005
,KDCoE,0.36034,0.53311,0.6008,0.74854,234.102,0.444,0.3712,0.54963,0.62084,0.7719,219.535,0.457,0.38903,0.57067,0.64346,0.79541,178.004,0.477,0.37143,0.54317,0.60829,0.7559,235.714,0.454,0.37449,0.55134,0.62281,0.77423,185.476,0.46,0.3733,0.0103,0.54958,0.01379,0.61924,0.01629,0.7692,0.01819,210.566,27.187,0.458,0.012
,BootEA,0.75577,0.88483,0.91769,0.97163,62.304,0.814,0.76626,0.89176,0.92304,0.97404,54.636,0.823,0.76217,0.89043,0.92184,0.97439,46.33,0.82,0.77134,0.8946,0.92547,0.97554,57.377,0.827,0.77371,0.89747,0.92777,0.97666,37.337,0.829,0.76585,0.0072,0.89182,0.00476,0.92316,0.00382,0.97445,0.00188,51.597,9.854,0.822,0.006
,GCN-Align,0.35201,0.55924,0.63721,0.77583,587.719,0.449,0.35384,0.55959,0.63639,0.77337,615.904,0.45,0.35723,0.56476,0.64226,0.7792,616.31,0.454,0.34679,0.54986,0.62834,0.76624,653.929,0.442,0.35357,0.56204,0.63731,0.77506,641.589,0.451,0.35269,0.00381,0.5591,0.00562,0.6363,0.00502,0.77394,0.0048,623.09,25.7,0.449,0.004
,AttrE,0.30193,0.47511,0.54889,0.7188,150.285,0.386,0.27899,0.44869,0.52123,0.6897,190.434,0.362,0.30666,0.48259,0.55807,0.72597,140.191,0.392,0.32091,0.49709,0.5712,0.74053,118.712,0.407,0.29454,0.47031,0.54369,0.71223,157.108,0.38,0.30061,0.01545,0.47476,0.01774,0.54862,0.01853,0.71745,0.01874,151.346,26.228,0.386,0.016
,IMUSE,0.42593,0.62417,0.70066,0.85267,80.12,0.52,0.43616,0.63969,0.71844,0.86559,73.199,0.532,0.4479,0.65091,0.72809,0.87179,61.007,0.543,0.42267,0.62254,0.69797,0.85259,86.064,0.517,0.42097,0.62006,0.69989,0.85159,76.444,0.515,0.43073,0.01126,0.63147,0.01331,0.70901,0.01349,0.85885,0.00926,75.367,9.342,0.525,0.012
,SEA,0.38367,0.58476,0.66891,0.84141,72.958,0.48,0.37969,0.58413,0.6693,0.83937,79.509,0.477,0.38317,0.58676,0.6725,0.84366,69.249,0.48,0.37913,0.58079,0.66589,0.8378,74.784,0.476,0.38497,0.58789,0.67194,0.84177,67.961,0.481,0.38213,0.00257,0.58487,0.00273,0.66971,0.00265,0.8408,0.00227,72.892,4.609,0.479,0.002
,RSN4EA,0.62569,0.77274,0.81699,0.89593,148.613,0.693,0.63561,0.77704,0.82203,0.8976,142.872,0.701,0.63561,0.77704,0.82203,0.8976,142.872,0.701,0.63561,0.77704,0.82203,0.8976,142.872,0.701,0.63561,0.77704,0.82203,0.8976,142.872,0.701,0.63363,0.00444,0.77618,0.00192,0.82102,0.00225,0.89727,0.00075,144.02,2.567,0.699,0.003
,MultiKE,0.31831,0.39057,0.43137,0.56043,372.482,0.358,0.3197,0.39439,0.43406,0.5537,396.324,0.36,0.31967,0.39731,0.4367,0.56501,369.683,0.361,0.31724,0.39364,0.43511,0.56871,366.683,0.359,0.31984,0.40206,0.44701,0.58364,339.439,0.364,0.31895,0.00114,0.39559,0.00434,0.43685,0.006,0.5663,0.0112,368.922,20.238,0.36,0.002
,RDGCN,0.42187,0.52773,0.57151,0.66143,"2,636.21",0.473,0.4208,0.52886,0.57276,0.66474,"2,636.41",0.473,0.42167,0.52936,0.57376,0.66454,"2,600.81",0.473,0.41999,0.52389,0.5662,0.6579,"2,725.82",0.47,0.42244,0.53033,0.57503,0.66609,"2,605.44",0.474,0.42135,0.00096,0.52803,0.0025,0.57185,0.00341,0.66294,0.00329,"2,640.94",50.296,0.473,0.002
D-Y,MTransE,0.09991,0.19586,0.24851,0.41516,774.242,0.152,0.0958,0.18784,0.2398,0.4067,855.394,0.146,0.09937,0.19199,0.2436,0.4082,803.14,0.15,0.10363,0.20003,0.25419,0.42497,852.19,0.156,0.10176,0.19743,0.24849,0.4147,755.138,0.153,0.10009,0.00293,0.19463,0.00479,0.24692,0.00547,0.41395,0.00723,808.021,45.157,0.152,0.004
,IPTransE,0.4473,0.61254,0.6744,0.80533,127.966,0.526,0.44021,0.60113,0.663,0.79746,159.343,0.517,0.47744,0.64176,0.70201,0.8307,105.049,0.556,0.44551,0.61036,0.67224,0.80696,148.173,0.524,0.4686,0.6353,0.69564,0.82253,117.411,0.547,0.45581,0.01623,0.62022,0.01741,0.68146,0.01658,0.8126,0.0136,131.588,22.158,0.534,0.017
,JAPE,0.12534,0.24107,0.30281,0.4863,432.287,0.186,0.12169,0.23574,0.29743,0.48199,452.336,0.182,0.12996,0.2466,0.30853,0.49157,400.203,0.192,0.13163,0.25069,0.31373,0.4981,443.084,0.195,0.12689,0.24426,0.30643,0.49009,426.206,0.189,0.1271,0.00391,0.24367,0.00565,0.30579,0.00612,0.48961,0.00602,430.823,19.838,0.189,0.005
,KDCoE,0.53896,0.6188,0.65574,0.74964,355.085,0.579,0.53994,0.62309,0.65987,0.75789,288.913,0.582,0.54157,0.62384,0.65897,0.75209,358.934,0.583,0.5402,0.6201,0.65241,0.74254,361.917,0.58,0.53976,0.62,0.65536,0.75159,328.365,0.58,0.54009,0.00095,0.62117,0.00218,0.65647,0.003,0.75075,0.00553,338.643,30.832,0.581,0.001
,BootEA,0.88879,0.94477,0.95923,0.98624,26.227,0.914,0.88851,0.94477,0.95836,0.98461,29.515,0.914,0.88107,0.94087,0.95607,0.98403,33.873,0.909,0.88401,0.94364,0.95894,0.98476,34.582,0.911,0.88726,0.9448,0.9593,0.98513,26.28,0.913,0.88593,0.00331,0.94377,0.00169,0.95838,0.00134,0.98495,0.00082,30.095,4.008,0.912,0.002
,GCN-Align,0.62611,0.78447,0.83181,0.9138,214.446,0.699,0.62701,0.78503,0.83186,0.91246,238.649,0.699,0.61309,0.77173,0.81981,0.90377,227.489,0.686,0.61661,0.77471,0.82366,0.90734,208.348,0.69,0.61894,0.77674,0.82651,0.91191,215.738,0.692,0.62035,0.00605,0.77854,0.00595,0.82673,0.00523,0.90986,0.00418,220.934,12.086,0.693,0.006
,AttrE,0.73537,0.85581,0.88833,0.94663,22.775,0.79,0.72026,0.84653,0.88334,0.94394,24.633,0.778,0.71011,0.83863,0.87587,0.93947,26.076,0.769,0.71426,0.84063,0.87721,0.94084,25.767,0.772,0.72079,0.84596,0.88169,0.94243,25.509,0.778,0.72016,0.00959,0.84551,0.00668,0.88129,0.005,0.94266,0.00278,24.952,1.33,0.778,0.008
,IMUSE,0.62564,0.77256,0.8212,0.91043,39.515,0.694,0.64294,0.787,0.83407,0.91771,39.174,0.71,0.61431,0.76096,0.81137,0.90589,44.864,0.683,0.62489,0.77097,0.81956,0.91091,42.253,0.693,0.63553,0.77971,0.82671,0.91407,42.986,0.702,0.62866,0.01096,0.77424,0.00978,0.82258,0.00845,0.9118,0.00441,41.758,2.404,0.696,0.01
,SEA,0.55156,0.71037,0.77144,0.89199,40.651,0.627,0.49493,0.65576,0.72076,0.8609,59.13,0.572,0.52414,0.68507,0.74834,0.87961,44.362,0.601,0.53796,0.7005,0.76103,0.88707,43.417,0.615,0.52346,0.6849,0.74844,0.87833,46.631,0.601,0.52641,0.02104,0.68732,0.02069,0.75,0.01898,0.87958,0.01184,46.838,7.198,0.603,0.021
,RSN4EA,0.8421,0.92251,0.94143,0.96901,62.799,0.878,0.83926,0.91979,0.93944,0.9678,57.914,0.876,0.84181,0.92161,0.94156,0.96917,53.273,0.878,0.83754,0.92156,0.94084,0.96844,61.203,0.875,0.84446,0.92366,0.94313,0.96976,53.887,0.88,0.84103,0.00268,0.92183,0.00142,0.94128,0.00133,0.96884,0.00075,57.815,4.254,0.877,0.002
,MultiKE,0.85534,0.89686,0.9122,0.94546,39.672,0.875,0.85246,0.89494,0.90923,0.94127,49.22,0.873,0.85793,0.90163,0.916,0.94649,42.676,0.879,0.85093,0.89266,0.90781,0.93889,51.459,0.871,0.85033,0.89404,0.90963,0.94189,52.098,0.871,0.8534,0.00319,0.89603,0.00348,0.91097,0.00323,0.9428,0.00313,47.025,5.55,0.874,0.003
,RDGCN,0.91137,0.94886,0.95803,0.97329,99.544,0.929,0.90863,0.9466,0.95607,0.97236,98.826,0.926,0.91407,0.95079,0.9595,0.97434,100.063,0.931,0.9122,0.9488,0.95759,0.97329,106.966,0.929,0.90981,0.94756,0.95619,0.97204,112.47,0.927,0.91122,0.00211,0.94852,0.00158,0.95748,0.00142,0.97306,0.0009,103.574,5.953,0.928,0.002
