15K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
,MultiKE,0.42276,0.54295,0.60562,0.7581,251.623,0.483,0.4061,0.52181,0.58533,0.73838,292.067,0.466,0.4041,0.51619,0.5819,0.73514,253.024,0.462,0.4001,0.49771,0.55143,0.70952,328.833,0.452,0.42114,0.52829,0.59105,0.74676,251.633,0.478,0.41084,0.01039,0.52139,0.01659,0.58307,0.01987,0.73758,0.01802,275.436,34.51,0.468,0.012
,RDGCN,0.51838,0.67267,0.71981,0.7919,505.1,0.587,0.51305,0.66562,0.71457,0.78381,522.368,0.581,0.52695,0.6781,0.72371,0.78781,530.648,0.594,0.51171,0.66476,0.71305,0.78333,485.848,0.58,0.5059,0.66571,0.71495,0.786,498.639,0.577,0.5152,0.00793,0.66937,0.00583,0.71722,0.00443,0.78657,0.00348,508.521,18.061,0.584,0.007
D-Y,MTransE,0.47762,0.68581,0.74276,0.81543,239.748,0.57,0.45514,0.66495,0.72295,0.8019,274.443,0.55,0.44981,0.66848,0.72848,0.81495,245.982,0.548,0.45667,0.66914,0.72886,0.81514,228.122,0.552,0.478,0.68771,0.74429,0.82324,239.455,0.572,0.46345,0.01336,0.67522,0.01068,0.73347,0.00949,0.81413,0.00768,245.55,17.389,0.559,0.012
,IPTransE,0.32219,0.47619,0.514,0.58352,"1,236.52",0.392,0.30581,0.4479,0.48381,0.54467,"1,328.30",0.37,0.3119,0.45133,0.48781,0.55562,"1,282.17",0.376,0.30333,0.43952,0.47257,0.53743,"1,343.47",0.366,0.32133,0.46581,0.5019,0.56981,"1,264.63",0.387,0.31291,0.00866,0.45615,0.01469,0.49202,0.01616,0.55821,0.01869,"1,291.02",44.398,0.378,0.011
,JAPE,0.47305,0.69257,0.75029,0.83076,198.709,0.571,0.45505,0.67219,0.73,0.80819,245.789,0.553,0.47705,0.69657,0.75781,0.838,191.796,0.576,0.4641,0.68048,0.74286,0.82571,210.509,0.561,0.47362,0.69486,0.75419,0.83162,209.17,0.572,0.46857,0.00895,0.68733,0.01056,0.74703,0.01102,0.82686,0.01131,211.195,20.818,0.567,0.009
,KDCoE,0.63867,0.73543,0.7681,0.85457,138.167,0.685,0.66305,0.73724,0.76914,0.83362,143.857,0.698,0.67067,0.74248,0.766,0.8159,168.587,0.703,0.66657,0.8039,0.84305,0.91314,120.71,0.73,0.66838,0.80238,0.83943,0.92324,94.991,0.733,0.66147,0.01305,0.76429,0.03557,0.79714,0.04029,0.86809,0.04787,133.262,27.415,0.71,0.021
,BootEA,0.73876,0.84686,0.87076,0.89238,378.784,0.786,0.75581,0.86105,0.88229,0.90552,325.448,0.802,0.72019,0.83648,0.86314,0.8899,365.837,0.772,0.73067,0.84229,0.86571,0.88914,358.218,0.78,0.75019,0.85724,0.87724,0.89781,352.426,0.798,0.73912,0.01441,0.84878,0.01024,0.87183,0.00795,0.89495,0.00681,356.143,19.792,0.788,0.012
,GCN-Align,0.46362,0.62733,0.66057,0.70295,"1,163.41",0.536,0.47571,0.63467,0.66905,0.71,"1,069.78",0.546,0.474,0.6339,0.67257,0.71629,"1,052.70",0.545,0.44638,0.60743,0.64305,0.68886,"1,177.45",0.518,0.46657,0.62562,0.65848,0.69971,"1,105.34",0.537,0.46526,0.01169,0.62579,0.011,0.66074,0.01148,0.70356,0.01043,"1,113.74",55.35,0.536,0.011
,AttrE,0.676,0.80714,0.84848,0.92371,34.974,0.737,0.66352,0.79819,0.84,0.92314,32.538,0.727,0.65514,0.792,0.83829,0.9179,39.833,0.72,0.65914,0.79914,0.84219,0.92143,33.215,0.724,0.68371,0.81657,0.85657,0.9301,32.733,0.745,0.6675,0.01197,0.80261,0.00948,0.84511,0.00748,0.92326,0.00445,34.659,3.048,0.731,0.01
,IMUSE,0.37781,0.54152,0.59219,0.672,967.952,0.452,0.378,0.55143,0.60029,0.68162,919.709,0.456,0.40705,0.59314,0.65362,0.73495,800.717,0.491,0.39581,0.58486,0.64467,0.72857,802.939,0.481,0.39943,0.58533,0.64276,0.7239,833.046,0.482,0.39162,0.01316,0.57126,0.02313,0.62671,0.02826,0.70821,0.02913,864.873,75.162,0.473,0.017
