,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-DE,TransH,0.39221,0.55664,0.62346,0.77164,191.575,0.472,0.39947,0.56460,0.63046,0.77701,176.451,0.479,0.39144,0.55533,0.62110,0.77021,184.285,0.471,0.36880,0.53174,0.59596,0.74566,240.456,0.447,0.36807,0.53016,0.59794,0.74791,211.612,0.447,0.38400,0.01455,0.54769,0.01570,0.61378,0.01576,0.76249,0.01458,200.876,25.691,0.463,0.015
,TransD,0.37764,0.54323,0.60850,0.75843,257.843,0.457,0.34866,0.51034,0.57561,0.72624,320.181,0.427,0.38294,0.54721,0.61499,0.76199,224.050,0.463,0.37281,0.53400,0.60013,0.74820,261.100,0.451,0.34746,0.51173,0.57834,0.72534,331.068,0.427,0.36590,0.01668,0.52930,0.01736,0.59551,0.01775,0.74404,0.01741,278.848,45.261,0.445,0.017
,ProjE,0.41847,0.53631,0.58141,0.67503,"5,258.727",0.475,0.42143,0.54214,0.58957,0.68217,"5,160.316",0.479,0.42173,0.54184,0.58906,0.68053,"5,244.422",0.479,0.42560,0.54397,0.58983,0.68317,"5,098.211",0.482,0.42699,0.54861,0.59646,0.69131,"5,169.287",0.485,0.42284,0.00343,0.54257,0.00443,0.58927,0.00534,0.68244,0.00587,"5,186.193",65.856,0.480,0.004
,ConvE,0.37651,0.48571,0.52854,0.62006,"4,998.333",0.429,0.37550,0.48923,0.53361,0.62759,"4,897.817",0.430,0.34340,0.45586,0.50047,0.59467,"5,107.021",0.398,0.36753,0.48110,0.52539,0.62056,"4,995.063",0.422,0.39643,0.50947,0.55331,0.64629,"4,849.569",0.450,0.37187,0.01915,0.48427,0.01923,0.52826,0.01895,0.62183,0.01853,"4,969.561",99.898,0.426,0.019
,SimplE,0.00477,0.01727,0.02889,0.08533,"3,566.906",0.015,0.01076,0.03336,0.05151,0.13146,"2,711.999",0.026,0.00631,0.01893,0.03021,0.08421,"4,350.104",0.016,0.00771,0.02649,0.04160,0.11530,"2,588.760",0.021,0.00670,0.02331,0.03760,0.10864,"2,983.619",0.019,0.00725,0.00223,0.02387,0.00643,0.03796,0.00921,0.10499,0.02024,"3,240.278",725.918,0.020,0.005
,RotatE,0.49457,0.67216,0.73737,0.85564,218.565,0.578,0.50507,0.67917,0.74220,0.85816,207.801,0.586,0.49000,0.66663,0.73280,0.85074,215.730,0.573,0.50946,0.68159,0.74321,0.85707,203.492,0.590,0.48994,0.66670,0.73114,0.85033,237.058,0.572,0.49781,0.00897,0.67325,0.00694,0.73734,0.00541,0.85439,0.00363,216.529,12.965,0.580,0.008
D-W,TransH,0.36047,0.54500,0.61749,0.77380,187.953,0.449,0.37190,0.55251,0.62546,0.78287,186.390,0.459,0.36097,0.54286,0.61633,0.77519,214.735,0.449,0.33889,0.51331,0.58439,0.74397,269.854,0.424,0.35484,0.53557,0.60831,0.76874,201.073,0.442,0.35741,0.01206,0.53785,0.01499,0.61040,0.01576,0.76891,0.01483,212.001,34.308,0.444,0.013
,TransD,0.34750,0.52650,0.60007,0.75686,289.298,0.434,0.35114,0.53496,0.60970,0.77109,268.566,0.440,0.33416,0.51174,0.58320,0.73970,342.304,0.420,0.33764,0.51279,0.58367,0.73703,355.481,0.422,0.34139,0.52193,0.59369,0.75079,309.192,0.428,0.34237,0.00696,0.52158,0.00971,0.59407,0.01126,0.75109,0.01379,312.968,36.104,0.429,0.008
,ProjE,0.39947,0.55137,0.60553,0.70540,"4,557.742",0.471,0.40736,0.55980,0.61590,0.71136,"4,693.050",0.478,0.40711,0.56043,0.61701,0.71623,"4,414.496",0.479,0.41140,0.56443,0.62367,0.72376,"4,770.922",0.484,0.40673,0.56113,0.61917,0.71734,"4,579.699",0.480,0.40641,0.00432,0.55943,0.00485,0.61626,0.00669,0.71482,0.00687,"4,603.182",136.411,0.478,0.005
,ConvE,0.30364,0.44851,0.50133,0.60460,"5,056.620",0.372,0.30250,0.44503,0.49791,0.60106,"5,039.403",0.370,0.29534,0.43884,0.49237,0.59569,"4,975.556",0.363,0.33179,0.47893,0.53271,0.63351,"4,811.593",0.401,0.32049,0.46826,0.52046,0.62289,"4,872.988",0.390,0.31075,0.01495,0.45591,0.01693,0.50896,0.01697,0.61155,0.01597,"4,951.232",106.176,0.379,0.016
,SimplE,0.01023,0.03140,0.04851,0.11911,"2,899.348",0.025,0.00996,0.03150,0.04959,0.12529,"3,385.895",0.025,0.00926,0.03110,0.04747,0.12206,"3,712.781",0.024,0.00650,0.02360,0.03841,0.10927,"3,159.507",0.019,0.00784,0.02616,0.04154,0.10879,"3,221.885",0.021,0.00876,0.00157,0.02875,0.00365,0.04510,0.00487,0.11690,0.00751,"3,275.883",300.508,0.023,0.003
,RotatE,0.37810,0.59133,0.67581,0.83360,245.142,0.478,0.39157,0.60321,0.68534,0.84000,238.095,0.490,0.40703,0.62133,0.70526,0.85651,190.626,0.507,0.37921,0.59193,0.67817,0.83769,249.111,0.480,0.37751,0.59393,0.67981,0.84230,205.320,0.479,0.38668,0.01276,0.60035,0.01267,0.68488,0.01192,0.84202,0.00871,225.659,26.102,0.487,0.012
D-Y,TransH,0.46379,0.61067,0.66744,0.79827,142.472,0.535,0.44996,0.59319,0.64980,0.78264,181.948,0.519,0.46400,0.60920,0.66689,0.79781,147.016,0.534,0.49783,0.64273,0.69804,0.82020,120.389,0.567,0.49806,0.64213,0.69809,0.82540,120.124,0.568,0.47473,0.02194,0.61958,0.02195,0.67605,0.02131,0.80486,0.01764,142.390,25.328,0.545,0.022
,TransD,0.47609,0.62767,0.68627,0.81404,138.197,0.549,0.47123,0.61906,0.67604,0.80500,167.947,0.542,0.48080,0.63119,0.68579,0.81103,144.719,0.553,0.47729,0.62474,0.68339,0.81030,156.830,0.549,0.47006,0.61740,0.67474,0.80170,173.164,0.541,0.47509,0.00443,0.62401,0.00578,0.68125,0.00548,0.80841,0.00497,156.171,14.850,0.547,0.005
,ProjE,0.50517,0.54914,0.56476,0.59501,"10,639.148",0.526,0.50226,0.54516,0.56101,0.59244,"10,751.072",0.523,0.50113,0.54489,0.56113,0.59190,"11,174.526",0.522,0.50541,0.54910,0.56450,0.59273,"10,730.218",0.526,0.50476,0.54914,0.56463,0.59591,"10,415.347",0.526,0.50375,0.00193,0.54749,0.00225,0.56321,0.00195,0.59360,0.00175,"10,742.062",275.944,0.525,0.002
,ConvE,0.48881,0.52789,0.54193,0.57256,"10,438.776",0.507,0.49006,0.53016,0.54434,0.57439,"10,771.200",0.509,0.49610,0.53584,0.54960,0.57934,"10,650.544",0.515,0.48354,0.52620,0.54053,0.57044,"10,588.261",0.504,0.48693,0.52783,0.54200,0.57280,"10,342.575",0.506,0.48909,0.00463,0.52958,0.00377,0.54368,0.00358,0.57391,0.00335,"10,558.271",169.968,0.508,0.004
,SimplE,0.01496,0.04646,0.07126,0.18616,"1,589.417",0.037,0.01309,0.04237,0.06646,0.17704,"1,642.760",0.034,0.01101,0.03576,0.05659,0.15499,"1,778.085",0.029,0.01489,0.04693,0.07409,0.19500,"1,506.591",0.037,0.01574,0.04891,0.07587,0.19570,"1,801.737",0.039,0.01394,0.00190,0.04409,0.00523,0.06885,0.00772,0.18178,0.01679,"1,663.718",125.278,0.035,0.004
,RotatE,0.72357,0.84593,0.88489,0.94599,74.584,0.780,0.71694,0.84031,0.87910,0.94069,93.636,0.773,0.72243,0.84347,0.88150,0.94387,77.710,0.778,0.70144,0.82663,0.86824,0.93540,92.703,0.759,0.70797,0.83407,0.87493,0.94031,82.964,0.766,0.71447,0.00954,0.83808,0.00779,0.87773,0.00643,0.94125,0.00402,84.319,8.622,0.771,0.009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
