,,15K (V1),,,,,,,15K (V2),,,,,,,100K (V1),,,,,,,100K (V2),,,,,,
,,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.
EN-FR,MTransE,151,87.5,129.3,133.7,129.8,126.3,23.4,130.5,138.6,114,114.7,143.1,128.2,13.4,645.5,691.6,472.4,570.8,859.6,648,144.5,609.2,526.7,631.9,567.7,484.5,564,60
D-W,MTransE,108.8,91.8,92.2,90.2,108.8,98.4,9.6,104.8,96.9,89.5,104.8,88.2,96.8,8,688.3,559.5,600.8,632.5,581.7,612.5,50.1,481.1,521.6,629.9,543.9,485.7,532.4,60.3
,IPTransE,578.6,611.6,562.3,535,583.3,574.2,28.2,"2,397.90","1,519.20","1,195.40","1,217.80","1,010.50","1,468.10",550.8,"5,672.80","4,960.30","6,075.70","6,949.60","6,933.40","6,118.30",851,"21,146.80","27,068.90","29,776.90","17,036.10","16,939.70","22,393.70","5,839.00"
,JAPE,256.9,178.6,202.6,202.2,245.2,217.1,32.7,174.2,174.5,179.6,193.2,175.9,179.5,8,"5,997.80","4,284.20","4,282.20","5,265.60","5,509.10","5,067.80",763.2,"3,367.50","3,110.10","3,130.90","3,390.80","3,126.10","3,225.10",141.1
,KDCoE,530.5,181.6,708.9,127.7,408.4,391.4,241.9,"1,159.30",977.1,"1,847.30","1,018.70",870.8,"1,174.60",390,"8,780.60","7,971.90","7,154.50","6,804.10","7,028.70","7,548.00",818.1,"11,133.00","7,960.90","8,318.40","6,925.90","5,826.30","8,032.90","1,986.90"
,BootEA,"2,143.80","2,068.10","1,937.10","2,101.20","2,274.40","2,104.90",122.2,"3,226.30","2,587.20","2,427.50","2,238.10","2,604.20","2,616.70",371.4,"62,621.00","36,044.10","31,081.70","35,132.70","29,028.50","38,781.60","13,634.00","33,010.40","49,157.50","43,495.20","59,079.70","73,208.80","51,590.30","15,330.60"
,GCN-Align,63.5,67,93.9,63.9,74.3,72.5,12.7,100.5,68.9,88.2,76.9,72.2,81.3,13,"4,314.70","3,398.60","4,449.20","4,466.20","4,616.60","4,249.10",487.3,"3,562.60","2,803.00","2,786.10","2,774.40","2,789.20","2,943.00",346.5
,AttrE,788.8,716.7,743.1,656.1,643.1,709.6,60.7,"1,057.70",806.4,850.9,"1,360.30",742.1,963.5,251.3,"3,807.70","5,306.80","5,273.70","3,417.90","4,084.00","4,378.00",865.8,"6,539.00","4,785.80","7,336.40","11,126.00","6,284.80","7,214.40","2,373.50"
,IMUSE,272.8,127.7,197.9,187.1,145.7,186.3,56.3,522.8,350.9,504.3,545.2,384.5,461.6,87.7,"2,260.20","1,237.50","1,920.10","1,067.70","2,164.90","1,730.10",544.9,"2,859.80","3,885.20","4,304.70","2,694.50","2,486.10","3,246.10",800
,SEA,265.6,166.2,213.8,169.4,150.8,193.2,46.8,233.5,346.5,216.3,212.5,184.3,238.6,62.8,906.4,"1,840.20","1,526.20",995.6,"1,034.80","1,260.60",404.1,"2,170.70","1,672.70","1,849.80","1,820.20","2,249.60","1,952.60",246.1
,RSN4EA,"2,003.30","2,033.50","2,047.10","2,120.50","2,008.50","2,042.60",47.1,"3,860.80","3,892.50","3,967.40","4,023.40","3,955.70","3,940.00",64.2,"6,790.50","6,813.50","6,791.10","6,832.30","6,749.20","6,795.30",31.1,"14,444.70","15,933.80","15,234.60","14,280.90","14,390.70","14,856.90",710.9
